"folio","oa","siteNumber","siteName","phase","status","sku","partId","qty","clientName"
"A10181344",343735,71358780,"MIFEL AGRONEGOCIO AGUASCALIENTES","Planeación","Activo","[""UNC.CUAD.901.1""]","[33635396]","[1]","BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A08180570",332901,70229799,"MIFEL_CORP_MASARYK_MPLS_RT01","Planeación","Activo","[""UNC.CUAD.901.1"",""UNC.CUAD.907.1"",""UNC.CUAD.904.1.4"",""UNC.CUAD.911.1.1""]","[33401305,33401360,33401362,33401359]","[5,5,5,5]","BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A07180287",327541,71721618,"SAN MIGUEL DE ALLENDE","Implementación","Activo","[""UNC.CUAD.901.1"",""UNC.CUAD.904.1.4"",""UNC.CUAD.907.1"",""UNC.CUAD.911.1.1""]","[33279190,33279204,33279243,33279245]","[1,6,6,6]","BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A07180279",327538,71719178,"PALMAS HILL INTERLOMAS","Implementación","Activo","[""UNC.CUAD.901.1"",""UNC.CUAD.904.1.4"",""UNC.CUAD.907.1"",""UNC.CUAD.911.1.1""]","[33279100,33279114,33279154,33279153]","[1,6,6,6]","BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A06181613",324966,71736760,"PASEO QUERETARO","Implementación","Activo","[""UNC.CUAD.901.1"",""UNC.CUAD.911.1.1"",""UNC.CUAD.904.1.4"",""UNC.CUAD.907.1""]","[33204952,33205007,33204966,33205005]","[1,6,6,6]","BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A06181596",324946,71736558,"EXPLANADA PUEBLA","Implementación","Activo","[""UNC.CUAD.911.1.1"",""UNC.CUAD.904.1.4"",""UNC.CUAD.901.1"",""UNC.CUAD.907.1""]","[33204605,33204627,33204613,33204606]","[6,6,1,6]","BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A05181452",320397,71725437,"URBAN CENTER MÉRIDA YUCATAN","Planeación","Activo","[""UNC.CUAD.901.1"",""UNC.CUAD.911.1"",""UNC.CUAD.904.1.4"",""UNC.CUAD.907.1""]","[33117849,33117863,33117867,33117865]","[1,6,6,6]","BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A01181735",302827,70229799,"MIFEL_CORP_MASARYK_MPLS_RT01","Operativo","Activo","[""UNC.CUAD.904.1.4"",""UNC.CUAD.901.1"",""UNC.CUAD.906.1"",""UNC.CUAD.907.1"",""UNC.CUAD.911.1.1""]","[32615697,32616313,32616129,32616061,32616060]","[60,10,60,60,60]","BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A01181067",302372,71694407,"LA ISLA MÉRIDA","Operativo","Activo","[""UNC.CUAD.901.1"",""UNC.CUAD.907.1"",""UNC.CUAD.911.1.1"",""UNC.CUAD.904.1.4""]","[32594681,32594740,32594760,32594695]","[1,7,7,7]","BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A10171375",293239,71463025,"JURIQUILLA QUERETARO","Operativo","Activo","[""UNC.CUAD60.901.1"",""UNC.CUAD60.904.1.4"",""UNC.CUAD60.907.1""]","[32274318,32274342,32274790]","[2,12,12]","BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A10171373",293217,71651985,"CENTRO LILAS LOMAS","Operativo","Activo","[""UNC.CUAD60.901.1"",""UNC.CUAD60.904.1.4"",""UNC.CUAD60.907.1""]","[32273930,32273944,32274207]","[1,7,7]","BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A10171386",293155,71651983,"LIFE STYLE EL TRIÁNGULO","Operativo","Activo","[""UNC.CUAD60.901.1"",""UNC.CUAD60.904.1.4"",""UNC.CUAD60.904.1.4""]","[32272901,32272915,32272915]","[1,1,1]","BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A10171387",293155,71651983,"LIFE STYLE EL TRIÁNGULO","Operativo","Activo","[""UNC.CUAD60.904.1.4"",""UNC.CUAD60.907.1"",""UNC.CUAD60.904.1.4""]","[32272915,32273187,32272961]","[1,7,6]","BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A10171383",293150,71651981,"PLAZA ANAHUAC MONTERREY","Operativo","Activo","[""UNC.CUAD60.904.1.4"",""UNC.CUAD60.901.1"",""UNC.CUAD60.907.1""]","[32272510,32272496,32272773]","[7,1,7]","BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A10171361",293138,71652057,"PLAZA SINFONÍA","Operativo","Activo","[""UNC.CUAD60.901.1"",""UNC.CUAD60.904.1.4"",""UNC.CUAD60.907.1""]","[32272061,32272075,32272338]","[1,7,7]","BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A10171349",293113,71652056,"SUCURSAL VALLE DE BRAVO","Operativo","Activo","[""UNC.CUAD60.901.1"",""UNC.CUAD60.907.1"",""UNC.CUAD60.904.1.4""]","[32271384,32271661,32271398]","[1,7,7]","BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A07170186",276815,71636130,"SUC LOS CABOS","Operativo","Activo","[""UNC.CUAD.901.1"",""UNC.CUAD.904.1.2"",""UNC.CUAD.911.1"",""UNC.CUAD.907.1""]","[31652775,31652438,31652791,31652789]","[1,9,9,9]","BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A06171084",276257,71634894,"SUC GUADALAJARA VALLE","Operativo","Activo","[""UNC.CUAD60.904.1.2"",""UNC.CUAD60.911.1"",""UNC.CUAD60.907.1"",""UNC.CUAD60.901.1""]","[31643780,31644095,31644098,31644081]","[8,8,8,1]","BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
