"folio","clientName","status","sku","partId","qty","qtyFac"
"A04196574","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",35090999,9,"[]"
"A04196575","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",35090995,31,"[]"
"A04196573","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",35090997,9,"[]"
"A04196577","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",35090991,9,"[]"
"A04196576","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",35090989,10,"[]"
"A04196571","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",35090993,19,"[]"
"A04196332","BBVA BANCOMER","Activo","UNC.CUAD.AVBA100",35082628,1,"[]"
"A04196332","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",35082630,4,"[]"
"A04196333","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",35082589,16,"[]"
"A04196322","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",35082359,14,"[]"
"A04196309","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",35081072,6,"[]"
"A04196315","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",35081088,12,"[]"
"A04196305","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",35081056,6,"[]"
"A04196306","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",35081050,1,"[]"
"A04196048","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",35049497,2,"[]"
"A04196019","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",35049456,18,"[]"
"A04196020","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",35049428,12,"[]"
"A04196021","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",35049406,9,"[]"
"A04196022","BBVA BANCOMER","Activo","UNC.CUAD.AVBA100",35049392,5,"[]"
"A04196011","BBVA BANCOMER","Activo","UNC.CUAD.AVBA100",35049370,2,"[]"
"A04196011","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",35049372,8,"[]"
"A04195886","BBVA BANCOMER","Activo","UNC.CUAD.AVBA100",35035027,2,"[]"
