"folio","clientName","siteNumber","oa","service"
"A05192084","BBVA BANCOMER",71813438,373328,"CUAD-AVAYA"
"A05192083","BBVA BANCOMER",71444791,373291,"CUAD-AVAYA"
"A05192078","BBVA BANCOMER",71414599,373291,"CUAD-AVAYA"
"A05192081","BBVA BANCOMER",71414614,373291,"CUAD-AVAYA"
"A05192073","BBVA BANCOMER",71348840,373291,"CUAD-AVAYA"
"A05192075","BBVA BANCOMER",71369210,373291,"CUAD-AVAYA"
"A05192036","BBVA BANCOMER",70116340,373253,"CUAD-AVAYA"
"A05191285","BBVA BANCOMER",71781527,372538,"CUAD-AVAYA"
"A04196580","BBVA BANCOMER",71414597,370722,"CUAD-AVAYA"
"A04196559","BBVA BANCOMER",70197365,370679,"CUAD-AVAYA"
"A04196572","BBVA BANCOMER",71419644,370675,"CUAD-AVAYA"
"A04196574","BBVA BANCOMER",71305264,370675,"CUAD-AVAYA"
"A04196575","BBVA BANCOMER",70114494,370675,"CUAD-AVAYA"
"A04196573","BBVA BANCOMER",70114502,370675,"CUAD-AVAYA"
"A04196577","BBVA BANCOMER",70114225,370675,"CUAD-AVAYA"
"A04196576","BBVA BANCOMER",70114217,370675,"CUAD-AVAYA"
"A04196571","BBVA BANCOMER",70114475,370675,"CUAD-AVAYA"
"A04196332","BBVA BANCOMER",71804296,370511,"CUAD-AVAYA"
"A04196333","BBVA BANCOMER",71799748,370511,"CUAD-AVAYA"
"A04196322","BBVA BANCOMER",71305855,370493,"CUAD-AVAYA"
"A04196309","BBVA BANCOMER",70197365,370449,"CUAD-AVAYA"
"A04196315","BBVA BANCOMER",71414597,370449,"CUAD-AVAYA"
"A04196305","BBVA BANCOMER",70115019,370449,"CUAD-AVAYA"
"A04196306","BBVA BANCOMER",70114771,370449,"CUAD-AVAYA"
"A04196048","BBVA BANCOMER",71780256,370333,"CUAD-AVAYA"
"A04196019","BBVA BANCOMER",71583966,370333,"CUAD-AVAYA"
"A04196020","BBVA BANCOMER",71419637,370333,"CUAD-AVAYA"
"A04196021","BBVA BANCOMER",71333207,370333,"CUAD-AVAYA"
"A04196022","BBVA BANCOMER",70115157,370333,"CUAD-AVAYA"
"A04196011","BBVA BANCOMER",70114558,370333,"CUAD-AVAYA"
"A04195886","BBVA BANCOMER",70114613,369545,"CUAD-AVAYA"
"A04195885","BBVA BANCOMER",70114923,369545,"CUAD-AVAYA"
"A04195888","BBVA BANCOMER",70115035,369545,"CUAD-AVAYA"
"A04195840","BBVA BANCOMER",71780256,369272,"CUAD-AVAYA"
"A04195838","BBVA BANCOMER",70115739,369272,"CUAD-AVAYA"
"A04195839","BBVA BANCOMER",70115196,369272,"CUAD-AVAYA"
"A04195835","BBVA BANCOMER",70114856,369272,"CUAD-AVAYA"
"A04195832","BBVA BANCOMER",70114651,369272,"CUAD-AVAYA"
"A04195833","BBVA BANCOMER",70114495,369272,"CUAD-AVAYA"
"A04195831","BBVA BANCOMER",70114322,369272,"CUAD-AVAYA"
"A04195808","BBVA BANCOMER",71305855,369193,"CUAD-AVAYA"
"A04195671","BBVA BANCOMER",71353008,368336,"CUAD-AVAYA"
"A04195664","BBVA BANCOMER",71325893,368313,"CUAD-AVAYA"
"A04195473","BBVA BANCOMER",71414599,368281,"CUAD-AVAYA"
"A04195468","BBVA BANCOMER",70122130,368281,"CUAD-AVAYA"
"A04195471","BBVA BANCOMER",71397789,368281,"CUAD-AVAYA"
"A04195292","BBVA BANCOMER",70114788,368244,"CUAD-AVAYA"
"A04195499","BBVA BANCOMER",70114595,368225,"CUAD-AVAYA"
"A04195251","BBVA BANCOMER",70114595,368174,"CUAD-AVAYA"
"A04195227","BBVA BANCOMER",71549070,368146,"CUAD-AVAYA"
"A04195593","BBVA BANCOMER",70114293,368098,"CUAD-AVAYA"
"A04195384","BBVA BANCOMER",70115087,368039,"CUAD-AVAYA"
"A04195597","BBVA BANCOMER",71618873,368035,"CUAD-AVAYA"
"A04195509","BBVA BANCOMER",71575941,368029,"CUAD-AVAYA"
"A04195345","BBVA BANCOMER",71453601,368028,"CUAD-AVAYA"
"A04195653","BBVA BANCOMER",71579846,368027,"CUAD-AVAYA"
"A04195098","BBVA BANCOMER",70114198,368013,"CUAD-AVAYA"
"A04194899","BBVA BANCOMER",71235421,367835,"CUAD-AVAYA"
"A04194851","BBVA BANCOMER",71414139,367783,"CUAD-AVAYA"
"A04194931","BBVA BANCOMER",71453601,367748,"CUAD-AVAYA"
"A04194930","BBVA BANCOMER",70115145,367748,"CUAD-AVAYA"
"A04194926","BBVA BANCOMER",71437016,367748,"CUAD-AVAYA"
