"folio","oa","siteNumber","siteName","phase","status","sku","partId","qty","clientName"
"A05181452",320397,71725437,"URBAN CENTER MÉRIDA YUCATAN","Planeación","Activo","UNC.CUAD.904.1.4",33117867,6,"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A05181452",320397,71725437,"URBAN CENTER MÉRIDA YUCATAN","Planeación","Activo","UNC.CUAD.907.1",33117865,6,"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A01181735",302827,70229799,"MIFEL_CORP_MASARYK_MPLS_RT01","Operativo","Activo","UNC.CUAD.904.1.4",32615697,60,"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A01181735",302827,70229799,"MIFEL_CORP_MASARYK_MPLS_RT01","Operativo","Activo","UNC.CUAD.901.1",32616313,10,"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A01181735",302827,70229799,"MIFEL_CORP_MASARYK_MPLS_RT01","Operativo","Activo","UNC.CUAD.906.1",32616129,60,"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A01181735",302827,70229799,"MIFEL_CORP_MASARYK_MPLS_RT01","Operativo","Activo","UNC.CUAD.907.1",32616061,60,"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A01181735",302827,70229799,"MIFEL_CORP_MASARYK_MPLS_RT01","Operativo","Activo","UNC.CUAD.911.1.1",32616060,60,"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A01181067",302372,71694407,"LA ISLA MÉRIDA","Operativo","Activo","UNC.CUAD.901.1",32594681,1,"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A01181067",302372,71694407,"LA ISLA MÉRIDA","Operativo","Activo","UNC.CUAD.907.1",32594740,7,"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A01181067",302372,71694407,"LA ISLA MÉRIDA","Operativo","Activo","UNC.CUAD.911.1.1",32594760,7,"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A01181067",302372,71694407,"LA ISLA MÉRIDA","Operativo","Activo","UNC.CUAD.904.1.4",32594695,7,"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A10171375",293239,71463025,"JURIQUILLA QUERETARO","Operativo","Activo","UNC.CUAD60.901.1",32274318,2,"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A10171375",293239,71463025,"JURIQUILLA QUERETARO","Operativo","Activo","UNC.CUAD60.904.1.4",32274342,12,"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A10171375",293239,71463025,"JURIQUILLA QUERETARO","Operativo","Activo","UNC.CUAD60.907.1",32274790,12,"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A10171373",293217,71651985,"CENTRO LILAS LOMAS","Operativo","Activo","UNC.CUAD60.901.1",32273930,1,"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A10171373",293217,71651985,"CENTRO LILAS LOMAS","Operativo","Activo","UNC.CUAD60.904.1.4",32273944,7,"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A10171373",293217,71651985,"CENTRO LILAS LOMAS","Operativo","Activo","UNC.CUAD60.907.1",32274207,7,"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A10171386",293155,71651983,"LIFE STYLE EL TRIÁNGULO","Operativo","Activo","UNC.CUAD60.901.1",32272901,1,"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A10171386",293155,71651983,"LIFE STYLE EL TRIÁNGULO","Operativo","Activo","UNC.CUAD60.904.1.4",32272915,1,"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A10171386",293155,71651983,"LIFE STYLE EL TRIÁNGULO","Operativo","Activo","UNC.CUAD60.904.1.4",32272915,1,"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A10171387",293155,71651983,"LIFE STYLE EL TRIÁNGULO","Operativo","Activo","UNC.CUAD60.904.1.4",32272915,1,"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A10171387",293155,71651983,"LIFE STYLE EL TRIÁNGULO","Operativo","Activo","UNC.CUAD60.907.1",32273187,7,"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
