"folio","siteNumber","siteName","phase","clientName","sku","partId","qty","qtyFac"
"A10190040",71655987,"CORPORATIVO DORAMA PATRIOTISMO","Operativo","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.912.1",36353037,14,"[]"
"A10190042",71366886,"FIANZAS DORAMA LEIBNITZ","Operativo","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.912.1",36354600,8,"[]"
"A10190044",71366886,"FIANZAS DORAMA LEIBNITZ","Operativo","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.912.1",36355396,1,"[]"
"A10190380",70221746,"SOFIMEX NODO CENTRAL","Operativo","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.912.1",36381871,9,"[]"
"A10190378",71547292,"DORAMA CD DEL CARMEN","Planeación","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.912.1",36385746,1,"[]"
"A10190376",71547205,"DORAMA CULIACAN","Planeación","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.912.1",36373381,3,"[]"
"A10190375",70221746,"SOFIMEX NODO CENTRAL","Operativo","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.912.1",36378383,9,"[]"
"A10190373",70221746,"SOFIMEX NODO CENTRAL","Operativo","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.912.1",36372476,9,"[]"
"A10190372",70221746,"SOFIMEX NODO CENTRAL","Operativo","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.912.1",36401379,9,"[]"
"A10190381",70221746,"SOFIMEX NODO CENTRAL","Operativo","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.912.1",36375372,8,"[]"
"A10190382",71429241,"FIANZAS DORAMA VILLAHERMOSA","Operativo","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.912.1",36386220,1,"[]"
"A10190387",71344378,"FIANZAS DORAMA MERIDA","Operativo","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.912.1",36404811,4,"[]"
"A10190388",71287600,"SOFIMEX VERAPAZ","Operativo","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.912.1",36405225,1,"[]"
"A10190389",71287600,"SOFIMEX VERAPAZ","Operativo","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.912.1",36405345,1,"[]"
"A10190393",71438516,"FIANZAS DORAMA PUEBLA","Planeación","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.912.1",36386729,1,"[]"
