"status","cliente","servicio","tags","phase"
"Activo","JUGOS DEL VALLE,S.A.B. DE C.V.","CUAD-BROADSOFT",,"Planeación-Desconocido"
"Cancelado","CORPORACION GEO, S.A.B. DE C.V.","CUAD-CISCO",,"Desconocido"
"Activo","BANCO AUTOFIN MÉXICO, S.A., INSTITUCIÓN DE BANCA MÚLTIPLE","CUAD-CISCO","[""bam""]","Nuevo-Operativo-Desconocido"
"Activo","LEVIC S.A. DE C.V.","CUAD-AVAYA",,"Desconocido"
"Activo","FARMACOS NACIONALES S.A. DE C.V.","CUAD-AVAYA",,"Nuevo"
"Activo","INNOVACION EN LOGISTICA Y DISTRIBUCION SA DE CV","CUAD-AVAYA",,"Nuevo"
"Activo","GRUPO GAYOSSO","CUAD-BROADSOFT",,"Nuevo-Planeación-Implementación-Operativo-Desconocido"
"Activo","TE CREEMOS","CUAD-BROADSOFT",,"Nuevo-Planeación-Operativo-Desconocido"
"Activo","SURTIDORA DE PELICULAS S.A. DE C.V.","CUAD-BROADSOFT","[""spe""]","Implementación-Operativo-Desconocido"
"Activo","INSTITUTO DEL FONDO NACIONAL DE LA VIVIENDA PARA  LOS TRABAJADORES, GOBIERNO","CUAD-BROADSOFT",,"Planeación"
"Activo","GENERADORA FENIX S.A.P.I. DE C.V.","CUAD-BROADSOFT",,"Nuevo-Planeación-Desconocido"
"Activo","DR. JOSE POLAK S.A. DE C.V.","CUAD-AVAYA",,"Planeación"
"Activo","VICHISA, S.A. DE C.V","CUAD-BROADSOFT","[""famosa""]","Operativo"
"Activo","VIENTOS DEL ALTIPLANO S. DE R.L. DE C.V.","CUAD-CISCO",,"Nuevo"
"Activo","EOLICA ZOPILOAPAN S.A.P.I. DE C.V","CUAD-CISCO",,"Desconocido"
"Activo","BACHOCO, S.A. DE C.V.","CUAD-CISCO",,"Planeación-Operativo-Desconocido"
"Cancelado","FIRST MAJESTIC PLATA,S.A. DE C.V.","CUAD-BROADSOFT",,"Desconocido"
"Activo","MULTIASISTENCIA, S.A DE C.V","CUAD-AVAYA",,"Planeación-Implementación"
"Activo","TRIARA.COM, S.A. DE C.V.","CUAD-CISCO",,"Operativo"
"Activo","ENERGIAS RENOVABLES LA MATA SAPI DE CV","CUAD-CISCO",,"Nuevo"
"Activo","SERVICIOS DE COBRANZA, RECUPERACION Y SEGUIMIENTO SA DE CV","CUAD-AVAYA",,"Nuevo"
"Activo","CORPORACION DE ENERGIA MEXOIL SAPI DE CV","CUAD-CISCO",,"Nuevo"
"Activo","MUNICIPIO DE JEREZ","CUAD-BROADSOFT",,"Nuevo-Planeación"
"Activo","FISCALIA GENERAL DEL ESTADO DE QUINTANA ROO","CUAD-BROADSOFT",,"Nuevo"
"Activo","BBVA BANCOMER S.A.","CUAD-CISCO",,"Implementación-Desconocido"
"Activo","SANOH INDUSTRIAL DE MEXICO, S.A. DE C.V.","CUAD-AVAYA",,"Nuevo-Planeación"
"Activo","COOPERATIVA LA CRUZ AZUL S.C.L.","CUAD-AVAYA","[""copcca""]","Nuevo"
"Activo","OPTICAS DEVLYN","CUAD-BROADSOFT",,"Planeación"
"Activo","AFIANZADORA SOFIMEX, S.A.","CUAD-CISCO",,"Planeación-Operativo-Desconocido"
