"cliente","servicio","sitio","idSitio","unc","descr","partId","qty","price","unr","unrId","months","rent","folio","phase"
"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL","CUAD-CISCO","PASEO QUERETARO",,"UNC.CUAD.904.1.4",,33204966,6,0.01,"UNR.CUAD.904.1.4",33205004,36,,"A06181613","Implementación"
"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL","CUAD-CISCO","PASEO QUERETARO",,"UNC.CUAD.907.1",,33205005,6,0.01,"UNR.CUAD.907.1",33205006,36,,"A06181613","Implementación"
"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL","CUAD-CISCO","EXPLANADA PUEBLA",,"UNC.CUAD.911.1.1",,33204605,6,0.06,,,36,,"A06181596","Implementación"
"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL","CUAD-CISCO","EXPLANADA PUEBLA",,"UNC.CUAD.904.1.4",,33204627,6,0.01,"UNR.CUAD.904.1.4",33204665,36,,"A06181596","Implementación"
"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL","CUAD-CISCO","EXPLANADA PUEBLA",,"UNC.CUAD.901.1",,33204613,1,0.01,"UNR.CUAD.901.1",33204626,36,,"A06181596","Implementación"
"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL","CUAD-CISCO","EXPLANADA PUEBLA",,"UNC.CUAD.907.1",,33204606,6,0.01,"UNR.CUAD.907.1",33204607,36,,"A06181596","Implementación"
"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL","CUAD-CISCO","URBAN CENTER MÉRIDA YUCATAN",,"UNC.CUAD.901.1",,33117849,1,0.01,"UNR.CUAD.901.1",33117862,36,,"A05181452","Planeación"
"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL","CUAD-CISCO","URBAN CENTER MÉRIDA YUCATAN",,"UNC.CUAD.911.1",,33117863,6,0.01,"UNR.CUAD.911.1",33117864,36,,"A05181452","Planeación"
"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL","CUAD-CISCO","URBAN CENTER MÉRIDA YUCATAN",,"UNC.CUAD.904.1.4",,33117867,6,0.01,"UNR.CUAD.904.1.4",33117905,36,,"A05181452","Planeación"
"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL","CUAD-CISCO","URBAN CENTER MÉRIDA YUCATAN",,"UNC.CUAD.907.1",,33117865,6,0.01,"UNR.CUAD.907.1",33117866,36,,"A05181452","Planeación"
"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL","CUAD-CISCO","MIFEL_CORP_MASARYK_MPLS_RT01",,"UNC.CUAD.904.1.4",,32615697,60,0.01,"UNR.CUAD.904.1.4",32616059,36,,"A01181735","Operativo"
"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL","CUAD-CISCO","MIFEL_CORP_MASARYK_MPLS_RT01",,"UNC.CUAD.901.1",,32616313,10,0.01,"UNR.CUAD.901.1",32616416,36,,"A01181735","Operativo"
"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL","CUAD-CISCO","MIFEL_CORP_MASARYK_MPLS_RT01",,"UNC.CUAD.906.1",,32616129,60,0.01,"UNR.CUAD.906.1",32616312,36,,"A01181735","Operativo"
