"folio","oa","servicio","siteId","alcance","partId","sku"
"A01201243",409573,"CUAD-AVAYA",70115363,1,36955094,"UNC.CUAD.AVBA101"
"A02200110",410110,"CUAD-BROADSOFT",71598281,3,36966633,"UNC.CUAD.BS.101"
"A02200110",410110,"CUAD-BROADSOFT",71598281,3,36966635,"UNC.CUAD.BS.103"
"A02200110",410110,"CUAD-BROADSOFT",71598281,6,36966637,"UNC.CUAD.BS.203"
"A02200110",410110,"CUAD-BROADSOFT",71598281,6,36966639,"UNC.CUAD.BS.901"
"A02200110",410110,"CUAD-BROADSOFT",71598281,1,36966644,"UNC.CUAD.BS.902"
"A01201074",409057,"CUAD-AVAYA",70115374,1,36947961,"UNC.CUAD.AVBA101"
"A01201129",409126,"CUAD-AVAYA",71670189,1,36949185,"UNC.CUAD.AVBA101"
"A01201119",409122,"CUAD-AVAYA",70114625,1,36948979,"UNC.CUAD.AVBA101"
"A02200105",410110,"CUAD-BROADSOFT",71554787,17,36966508,"UNC.CUAD.BS.203"
"A02200105",410110,"CUAD-BROADSOFT",71554787,14,36966510,"UNC.CUAD.BS.101"
"A02200105",410110,"CUAD-BROADSOFT",71554787,2,36966512,"UNC.CUAD.BS.103"
"A02200105",410110,"CUAD-BROADSOFT",71554787,1,36966514,"UNC.CUAD.BS.104"
"A02200105",410110,"CUAD-BROADSOFT",71554787,17,36966516,"UNC.CUAD.BS.901"
"A02200105",410110,"CUAD-BROADSOFT",71554787,1,36966521,"UNC.CUAD.BS.902"
"A02200390",410886,"CUAD-AVAYA",70115556,1,37040065,"UNC.CUAD.AVBA101"
"A01201086",409066,"CUAD-AVAYA",70033136,1,36948024,"UNC.CUAD.AVBA101"
"A01201216",409468,"CUAD-AVAYA",71840032,1,36953469,"UNC.CUAD.AVBA101"
"A02200630",411371,"CUAD-AVAYA",71374920,1,37050856,"UNC.CUAD.AVBA101"
"A01201018",408990,"CUAD-AVAYA",71241177,2,36947185,"UNC.CUAD.AVBA101"
"A01201094",409066,"CUAD-AVAYA",70114672,1,36948048,"UNC.CUAD.AVBA101"
"A01201206",409457,"CUAD-AVAYA",71747442,1,36953371,"UNC.CUAD.AVBA101"
"A01201049",409004,"CUAD-AVAYA",71819894,2,36947343,"UNC.CUAD.AVBA101"
"A01201096",409066,"CUAD-AVAYA",71463936,1,36948054,"UNC.CUAD.AVBA101"
"A02200108",410110,"CUAD-BROADSOFT",71554801,7,36966588,"UNC.CUAD.BS.101"
"A02200108",410110,"CUAD-BROADSOFT",71554801,3,36966590,"UNC.CUAD.BS.104"
"A02200108",410110,"CUAD-BROADSOFT",71554801,10,36966592,"UNC.CUAD.BS.203"
"A02200108",410110,"CUAD-BROADSOFT",71554801,10,36966594,"UNC.CUAD.BS.901"
"A02200108",410110,"CUAD-BROADSOFT",71554801,1,36966599,"UNC.CUAD.BS.902"
"A02200220",410330,"CUAD-BROADSOFT",71411703,5,37029625,"UNC.CUAD.BS.102"
"A02200220",410330,"CUAD-BROADSOFT",71411703,5,37029627,"UNC.CUAD.BS.101"
"A02200220",410330,"CUAD-BROADSOFT",71411703,2,37029629,"UNC.CUAD.BS.103"
"A02200220",410330,"CUAD-BROADSOFT",71411703,12,37029631,"UNC.CUAD.BS.901"
"A02200220",410330,"CUAD-BROADSOFT",71411703,12,37029641,"UNC.CUAD.BS.203"
"A02200220",410330,"CUAD-BROADSOFT",71411703,1,37029643,"UNC.CUAD.BS.902"
"A02200220",410330,"CUAD-BROADSOFT",71411703,2,37029661,"UNC.CUAD.BS.201"
"A02200162",410249,"CUAD-AVAYA",71833885,5,36969079,"UNC.CUAD.AVBA202"
"A01201024",408990,"CUAD-AVAYA",71819894,1,36947207,"UNC.CUAD.AVBA101"
