"tecnología","cliente","sitio","siteName","fcs","status"
"CUAD-CISCO","LALA ADMINISTRACION Y CONTROL, S.A. DE C.V.",71398346,"LALA CEDIS COATZACOALCOS 2","[""A02150017""]","[""Activo""]"
"CUAD-AVAYA","BBVA BANCOMER",70115111,"4135 EL MOLINITO","[""A01182129""]","[""Activo""]"
"CUAD-AVAYA","BBVA BANCOMER",70115631,"5526 PENJAMO HIDALGO","[""V0000000592""]","[""Activo""]"
"CUAD-AVAYA","BBVA BANCOMER",70197245,"1150 MOD ADUANAL CANCUN","[""V0000000201""]","[""Activo""]"
"CUAD-AVAYA","BBVA BANCOMER",71256262,"5139 HUICHAPAN HIDALGO","[""V0000000554""]","[""Activo""]"
"CUAD-AVAYA","BBVA BANCOMER",70115653,"5823 MAGDALENA OFNA PRINCIPAL","[""A05181829""]","[""Activo""]"
"CUAD-BROADSOFT","MODATELAS, S.A. DE C.V.",71467455,"AGUASCALIENTESI","[""A11150567""]","[""Activo""]"
"CUAD-AVAYA","BBVA BANCOMER",71284744,"5289 SAN JULIAN","[""A08190490"",""V0000000575""]","[""Activo""]"
"CUAD-CISCO","BANCO MERCANTIL DEL NORTE, S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO B",71847350,"CR 3992 MODULO LA COMER ALTARIA","[""A05201261""]","[""Activo""]"
"CUAD-AVAYA","BBVA BANCOMER",71588564,"4435 PALIZADA CENTRO","[""V0000000610"",""A05193431""]","[""Activo""]"
"CUAD-AVAYA","BBVA BANCOMER",70115569,"6573 VALLE DE BRAVO","[""A09170421""]","[""Activo""]"
"CUAD-AVAYA","BBVA BANCOMER",71277334,"5234 MAZATLAN PLAZA DE TOROS","[""V0000000568""]","[""Activo""]"
